myday,rating_group_name,rg_id,IMSI,apn,ccr_charge_traffic_mb,daily_capping_mb,capping_status
2026/08/03,RG 1003 - FB_AutoFlex,1003,602030927617668,ETISALAT,0E-12,50,within capping
2026/08/03,RG 1060 - DNS,1060,602030834975117,ETISALAT,10482.013821601855,,no capping
2026/08/03,RG 1060 - DNS,1060,602030916532199,ETISALAT,6940.533180236816,,no capping
2026/08/03,RG 1060 - DNS,1060,602030959227088,ETISALAT,6666.379905700684,,no capping
2026/08/03,RG 1060 - DNS,1060,602030126104974,ETISALAT,5864.848203659082,,no capping
2026/08/03,RG 1060 - DNS,1060,602030814714872,ETISALAT,5802.293880462695,,no capping
2026/08/03,RG 1060 - DNS,1060,602030102350283,ETISALAT,5773.878182411230,,no capping
2026/08/03,RG 1060 - DNS,1060,602030919833971,ETISALAT,4624.654788970996,,no capping
2026/08/03,RG 1060 - DNS,1060,602030833105606,ETISALAT,4600.498012542773,,no capping
2026/08/03,RG 1060 - DNS,1060,602030814992125,ETISALAT,4521.969373703027,,no capping
2026/08/03,RG 1060 - DNS,1060,602030819062071,ETISALAT,4464.516916275000,,no capping
2026/08/03,RG 1060 - DNS,1060,602030850851389,ETISALAT,4317.315815925586,,no capping
2026/08/03,RG 1060 - DNS,1060,602030987290916,ETISALAT,4268.695228576660,,no capping
2026/08/03,RG 1060 - DNS,1060,602030999437744,ETISALAT,4181.290393829395,,no capping
2026/08/03,RG 1060 - DNS,1060,602030115138772,ETISALAT,4139.052420616113,,no capping
2026/08/03,RG 1060 - DNS,1060,602030963278303,ETISALAT,3953.704543113672,,no capping
2026/08/03,RG 1060 - DNS,1060,602030850095471,ETISALAT,3915.345610618555,,no capping
2026/08/03,RG 1060 - DNS,1060,602030917063606,ETISALAT,3893.784243583691,,no capping
2026/08/03,RG 1060 - DNS,1060,602030133463470,ETISALAT,3804.416944503809,,no capping
2026/08/03,RG 1060 - DNS,1060,602030916937851,ETISALAT,3515.103860855078,,no capping
2026/08/03,RG 1060 - DNS,1060,602030913611375,ETISALAT,3414.847754478418,,no capping
2026/08/03,RG 1080 - VPN,1080,602030958989138,INTERNET.ETISALAT,23401.518035888672,,no capping
2026/08/03,RG 1080 - VPN,1080,602030126482999,ETISALAT,19467.662811279297,,no capping
2026/08/03,RG 1080 - VPN,1080,602030915625561,INTERNET.ETISALAT,16289.932228088379,,no capping
2026/08/03,RG 1080 - VPN,1080,602030815388581,ETISALAT,14940.220086097754,,no capping
2026/08/03,RG 1080 - VPN,1080,602030916901603,INTERNET.ETISALAT,13414.422978401172,,no capping
2026/08/03,RG 1080 - VPN,1080,602030915886652,INTERNET.ETISALAT,13116.063631057715,,no capping
2026/08/03,RG 1080 - VPN,1080,602030914086804,INTERNET.ETISALAT,13050.090941429102,,no capping
2026/08/03,RG 1080 - VPN,1080,602030139646746,INTERNET.ETISALAT,12414.105845451367,,no capping
2026/08/03,RG 1080 - VPN,1080,602030928674361,INTERNET.ETISALAT,9609.868218421973,,no capping
2026/08/03,RG 1080 - VPN,1080,602030938985113,INTERNET.ETISALAT,9445.877093315137,,no capping
2026/08/03,RG 1080 - VPN,1080,602030959010531,INTERNET.ETISALAT,9297.254780769336,,no capping
2026/08/03,RG 1080 - VPN,1080,602030150293210,INTERNET.ETISALAT,8966.148343086230,,no capping
2026/08/03,RG 1080 - VPN,1080,602030815917083,INTERNET.ETISALAT,8740.732187271094,,no capping
2026/08/03,RG 1080 - VPN,1080,602030815891871,INTERNET.ETISALAT,8639.090122222949,,no capping
2026/08/03,RG 1080 - VPN,1080,602030816706582,INTERNET.ETISALAT,8381.324402809180,,no capping
2026/08/03,RG 1080 - VPN,1080,602030978640530,INTERNET.ETISALAT,8183.143060684180,,no capping
2026/08/03,RG 1080 - VPN,1080,602030132266156,INTERNET.ETISALAT,8136.703699111914,,no capping
2026/08/03,RG 1080 - VPN,1080,602030948206741,ETISALAT,8066.762885093652,,no capping
2026/08/03,RG 1080 - VPN,1080,602030913970544,INTERNET.ETISALAT,7827.052615165723,,no capping
2026/08/03,RG 1080 - VPN,1080,602030836448892,INTERNET.ETISALAT,7773.175798416113,,no capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030818189722,INTERNET.ETISALAT,958.997430801367,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030839597390,STATICPUBLIC3,738.257244110156,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030917719397,INTERNET.ETISALAT,612.767128944434,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030836694928,STATICPUBLIC3,532.524444580078,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030915625561,INTERNET.ETISALAT,503.579950332617,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030915020876,INTERNET.ETISALAT,503.544543266309,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030127987241,ETISALAT,503.514787673926,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030126937655,INTERNET.ETISALAT,503.507921218848,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030818192676,INTERNET.ETISALAT,503.500259399414,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030818257002,INTERNET.ETISALAT,503.447231292773,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030138581241,INTERNET.ETISALAT,503.444076538086,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030046045271,ETISALAT,503.443046569824,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030150597475,ETISALAT,503.436311721777,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030126284953,ETISALAT,503.420622825586,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030969590355,ETISALAT,503.419742584277,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030936106919,ETISALAT,503.385002136230,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030993271494,ETISALAT,503.382675170898,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030132617918,ETISALAT,503.378572463965,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030997068241,ETISALAT,503.363585472070,500,exceeded capping
2026/08/03,RG 1192 - NTRA & Governmental,1192,602030913054823,ETISALAT,503.324224472070,500,exceeded capping
2026/08/03,RG 1193 - My Etisalat & Notifications,1193,602030818189722,INTERNET.ETISALAT,2361.106498718262,250,exceeded capping
2026/08/03,RG 1193 - My Etisalat & Notifications,1193,602030139662965,INTERNET.ETISALAT,1203.635512351953,250,exceeded capping
