myday,rating_group_name,rg_id,apn,ccr_charge_traffic_mb
2026/08/04,RG 1192 - NTRA & Governmental,1192,ETISALAT,18012493.812506675684
2026/08/04,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,15182097.175044059766
2026/08/04,RG 1060 - DNS,1060,ETISALAT,12449541.143480300879
2026/08/04,RG 1080 - VPN,1080,INTERNET.ETISALAT,1630340.947735786426
2026/08/04,RG 1080 - VPN,1080,ETISALAT,1006244.918766975391
2026/08/04,RG 1060 - DNS,1060,INTERNET.ETISALAT,453130.911176681543
2026/08/04,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,176352.880323410059
2026/08/04,RG 1202 - Speed test,1202,ETISALAT,164016.534042358398
2026/08/04,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,61132.019144058203
2026/08/04,RG 1060 - DNS,1060,FWA.ETISALAT,42853.984996795703
2026/08/04,RG 1080 - VPN,1080,FWA.ETISALAT,24885.591277122461
2026/08/04,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,11839.810013771094
2026/08/04,RG 1080 - VPN,1080,STATICPUBLIC3,8806.601653099023
2026/08/04,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,3833.095358848535
2026/08/04,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,2598.350493431055
2026/08/04,RG 1060 - DNS,1060,OPAY,2223.754946708691
2026/08/04,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,1636.695032119727
2026/08/04,RG 1060 - DNS,1060,AB-ETISALAT,1441.806100845313
2026/08/04,RG 1060 - DNS,1060,GEDIA,1311.294955253613
2026/08/04,RG 1060 - DNS,1060,MOMKEN,777.515967369043
2026/08/04,RG 1060 - DNS,1060,TAMWELY,442.144737243652
2026/08/04,RG 1060 - DNS,1060,GEIDEA,188.858405113184
2026/08/04,RG 1060 - DNS,1060,ALARABY,140.941378593457
2026/08/04,RG 1060 - DNS,1060,STATICPUBLIC3,87.551313400293
2026/08/04,RG 1060 - DNS,1060,NPO.HS,63.311464309668
2026/08/04,RG 1060 - DNS,1060,CIVIL-PROTECTION,50.665656089746
2026/08/04,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,43.391371726953
2026/08/04,RG 1060 - DNS,1060,ELARABY.INT,38.219100952148
