myday,rating_group_name,rg_id,apn,unique_users
2026/07/31,RG 1060 - DNS,1060,ETISALAT,16390845
2026/07/31,RG 1193 - My Etisalat & Notifications,1193,ETISALAT,5583713
2026/07/31,RG 1192 - NTRA & Governmental,1192,ETISALAT,1580649
2026/07/31,RG 1080 - VPN,1080,ETISALAT,261152
2026/07/31,RG 1060 - DNS,1060,INTERNET.ETISALAT,237879
2026/07/31,RG 1193 - My Etisalat & Notifications,1193,INTERNET.ETISALAT,111446
2026/07/31,RG 1192 - NTRA & Governmental,1192,INTERNET.ETISALAT,78673
2026/07/31,RG 1202 - Speed test,1202,ETISALAT,24161
2026/07/31,RG 1080 - VPN,1080,INTERNET.ETISALAT,23060
2026/07/31,RG 1060 - DNS,1060,FWA.ETISALAT,13727
2026/07/31,RG 1060 - DNS,1060,GEDIA,13576
2026/07/31,RG 1060 - DNS,1060,OPAY,13193
2026/07/31,RG 1193 - My Etisalat & Notifications,1193,FWA.ETISALAT,11693
2026/07/31,RG 1192 - NTRA & Governmental,1192,FWA.ETISALAT,7163
2026/07/31,RG 1060 - DNS,1060,MOMKEN,5582
2026/07/31,RG 1202 - Speed test,1202,INTERNET.ETISALAT,2247
2026/07/31,RG 1060 - DNS,1060,GEIDEA,2132
2026/07/31,RG 1080 - VPN,1080,FWA.ETISALAT,1936
2026/07/31,RG 1060 - DNS,1060,STATICPUBLIC3,1507
2026/07/31,RG 1060 - DNS,1060,TAMWELY,1237
2026/07/31,RG 1060 - DNS,1060,AB-ETISALAT,1007
2026/07/31,RG 1060 - DNS,1060,NPO.HS,714
2026/07/31,RG 1060 - DNS,1060,THEQAPAY,630
2026/07/31,RG 1197 - Ta3leemy,1197,INTERNET.ETISALAT,539
2026/07/31,RG 1192 - NTRA & Governmental,1192,STATICPUBLIC3,485
2026/07/31,RG 1202 - Speed test,1202,FWA.ETISALAT,363
2026/07/31,RG 1193 - My Etisalat & Notifications,1193,STATICPUBLIC3,270
2026/07/31,RG 1060 - DNS,1060,PAYMOB,256
2026/07/31,RG 1060 - DNS,1060,ALARABY,248
2026/07/31,RG 1080 - VPN,1080,STATICPUBLIC3,137
2026/07/31,RG 1060 - DNS,1060,KASHIER1,97
2026/07/31,RG 1060 - DNS,1060,SHC-WATER,66
2026/07/31,RG 1060 - DNS,1060,GO.ETISALAT,44
